"","locus","chi2","df","Pr.chi2","Pr.exact","pop"
"1","AGBro110",5.74074074074074,3,0.124928070863975,0.129,"Simliduinen2018"
"2","AGBro111",20.6834467120181,10,0.023412309442512,0.015,"Simliduinen2018"
"3","AGBro116",2.77777777777778,3,0.427171167188125,0.5,"Simliduinen2018"
"4","AGBro12",7.68140589569161,6,0.262385678510856,0.244,"Simliduinen2018"
"5","AGBro138",0.29893574159059,1,0.584550385648649,0.612,"Simliduinen2018"
"6","AGBro144",14.0576064499874,21,0.867112140172088,0.595,"Simliduinen2018"
"7","AGBro153",3.99872448979592,6,0.676849037711952,0.589,"Simliduinen2018"
"8","AGBro16",0.0131492439184747,1,0.908706572535466,1,"Simliduinen2018"
"9","AGBro161",9.69112426035503,6,0.138276648597952,0.074,"Simliduinen2018"
"10","AGBro20",0.0146938775510204,1,0.903518125461653,1,"Simliduinen2018"
"11","AGBro218",2.99022222222222,1,0.0837686721656665,0.16,"Simliduinen2018"
"12","AGBro227",21.9659735349716,15,0.108699228355437,0.115,"Simliduinen2018"
"13","AGBro234",7.41923910304863,3,0.0596702617654568,0.029,"Simliduinen2018"
"14","AGBro266",1.82996432818074,1,0.176131758919181,0.52,"Simliduinen2018"
"15","AGBro299",0.899908172635445,6,0.989123634149346,1,"Simliduinen2018"
"16","AGBro307",0.600888888888889,1,0.438239075549942,0.666,"Simliduinen2018"
"17","AGBro32",2.74727182539683,3,0.432253624250911,0.156,"Simliduinen2018"
"18","AGBro337",2.87752675386445,1,0.0898238883346101,0.263,"Simliduinen2018"
"19","AGBro35",7.73614512471655,1,0.00541262267310005,0.072,"Simliduinen2018"
"20","AGBro375",0.0888888888888889,1,0.765594483995764,1,"Simliduinen2018"
"21","AGBro403",6.3164525069287,15,0.973927799814814,0.874,"Simliduinen2018"
"22","AGBro419",16.5943458251151,6,0.0108955949115638,0.032,"Simliduinen2018"
"23","AGBro467",15.9890426758939,15,0.382780268977587,0.124,"Simliduinen2018"
"24","AGBro480",0.622222222222222,6,0.996018362314104,1,"Simliduinen2018"
"25","AGBro487",3.59524551022527,10,0.96376496826886,0.908,"Simliduinen2018"
"26","AGBro57",7.38946559015763,1,0.00656069785845581,0.023,"Simliduinen2018"
"27","AGBro76",5.32760472610097,10,0.868247327411115,0.6,"Simliduinen2018"
"28","AGBro9",20.9259259259259,21,0.463475933483572,0.663,"Simliduinen2018"
"29","AGBro110",5.12471655328798,3,0.162889286189885,0.205,"Cabour2018"
"30","AGBro111",7.37015121630506,6,0.287967471382592,0.295,"Cabour2018"
"31","AGBro116",7.36111111111111,6,0.288738458238926,0.157,"Cabour2018"
"32","AGBro12",1.60550964187328,6,0.952180483305846,1,"Cabour2018"
"33","AGBro138",2.7437641723356,1,0.0976345361407192,0.139,"Cabour2018"
