"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"1","AGBro110",0.0448717948717949,0.0384615384615385,-0.0845697772296609,0.205304538598656,"Simliduinen"
"2","AGBro111",0.193957115009747,0.178608095274762,0.0374459107501744,0.366499554367201,"Simliduinen"
"3","AGBro116",0.0192307692307692,0.0119606003752345,-0.08530916044503,0.145085331335331,"Simliduinen"
"4","AGBro12",0.0900086132644272,0.0755813953488372,-0.0311492398870501,0.225645711500975,"Simliduinen"
"5","AGBro138",0.0677248677248678,0.0650953984287318,-0.0516517857142858,0.20775462962963,"Simliduinen"
"6","AGBro144",0.0677447552447552,0.055506993006993,-0.0403079821672258,0.183932186234818,"Simliduinen"
"7","AGBro153",0.0548076923076923,0.0447115384615385,-0.0491234525966184,0.173361125076811,"Simliduinen"
"8","AGBro16",-0.000769230769230684,-0.000769230769230684,-0.0102564102564104,0,"Simliduinen"
"9","AGBro161",0.0665680473372781,0.056244939271255,-0.0435142982017983,0.182996031746032,"Simliduinen"
"10","AGBro20",-0.00347826086956535,-0.0032051282051284,-0.0210437710437711,0,"Simliduinen"
"11","AGBro218",-0.0321052631578948,-0.0423076923076923,-0.137179487179487,0.0903227880658436,"Simliduinen"
"12","AGBro227",-0.0465116279069768,-0.0509437321937322,-0.108386777967895,0.00951713199302532,"Simliduinen"
"13","AGBro234",0.062051282051282,0.0541334427767355,-0.0551760912698413,0.19633152173913,"Simliduinen"
"14","AGBro266",-0.0672222222222222,-0.0658761528326747,-0.124878048780488,-0.0232175056126669,"Simliduinen"
"15","AGBro299",-0.0155155155155155,-0.0205205205205205,-0.0615816960252936,0.0288807189542482,"Simliduinen"
"16","AGBro307",0,-0.012487104654084,-0.114777472527472,0.134643939393939,"Simliduinen"
"17","AGBro32",0.0438888888888889,0.0339177270098323,-0.0827020202020202,0.192297860004217,"Simliduinen"
"18","AGBro337",-0.073076923076923,-0.0782407407407407,-0.150700073827981,0.0214285714285714,"Simliduinen"
"19","AGBro35",0.121481481481482,0.112876254180602,-0.00818181818181803,0.277938034188034,"Simliduinen"
"20","AGBro375",-0.0242914979757085,-0.0297270955165692,-0.114948568872987,0.0821133633633634,"Simliduinen"
"21","AGBro403",-0.0156378600823046,-0.0226337448559672,-0.097142414885576,0.0668256288870323,"Simliduinen"
"22","AGBro419",0.167878787878788,0.15297432982855,0.00201832706766918,0.33313724651322,"Simliduinen"
"23","AGBro467",0.0723443223443223,0.0619092289823998,-0.0343540776353276,0.186849334875651,"Simliduinen"
"24","AGBro480",0.0211069418386492,0.00783302063789872,-0.0970971038726731,0.146828449328449,"Simliduinen"
"25","AGBro487",0.0235745614035088,0.0148443008225617,-0.0903452957733481,0.151540000232256,"Simliduinen"
