"populations" "actual" "lower" "upper"
"64" "Astridlaan_506,  vs  HB-Oost_241," 1e-04 -0.0224 0.0412
"65" "Astridlaan_506,  vs  HB-Pylyserlaan_201," -4e-04 -0.0172 0.0374
"66" "Astridlaan_506,  vs  Kalmthout_D84," 0.0502 0.0116 0.1132
"67" "Astridlaan_506,  vs  Karthuizerduinen_T77," -0.0032 -0.0172 0.0301
"68" "Astridlaan_506,  vs  Keiheuvel_D51," 0.0517 0.009 0.1021
"69" "Astridlaan_506,  vs  Kopberg_D24," 0.0162 -0.0145 0.0618
"70" "Astridlaan_506,  vs  Kortenhoeff-NL_D61," 0.1136 0.0488 0.1923
"71" "Astridlaan_506,  vs  Lagland_W28," 0.0795 0.042 0.1257
"72" "Astridlaan_506,  vs  MtStFrieux_667," 0.0012 -0.0212 0.0389
"73" "Astridlaan_506,  vs  Oosthoekduinen_89," -3e-04 -0.0184 0.0415
"74" "Astridlaan_506,  vs  Oostvoordduinen_T78," -0.0067 -0.0185 0.0236
"75" "Astridlaan_506,  vs  Plaatsduinen_440," -4e-04 -0.016 0.0335
"76" "Astridlaan_506,  vs  Raversijde1_G38," 2e-04 -0.0321 0.0566
"77" "Astridlaan_506,  vs  Raversijde2_G253," -1e-04 -0.0221 0.0435
"78" "Astridlaan_506,  vs  Sangatte_687," -0.0031 -0.0192 0.0314
"79" "Astridlaan_506,  vs  Schipgatduinen_T41," -5e-04 -0.0165 0.0346
"80" "Astridlaan_506,  vs  Simliduinen_473," -0.0132 -0.026 0.0307
"81" "Astridlaan_506,  vs  Sint-Laureins1_G91," -2e-04 -0.02 0.042
"82" "Astridlaan_506,  vs  Sint-Laureins2_G84," -0.0058 -0.0313 0.0558
"83" "Astridlaan_506,  vs  Slack_632," 0.0097 -0.0162 0.0538
"84" "Astridlaan_506,  vs  SpanjaardduinenOostende_G153," -9e-04 -0.0228 0.0508
"85" "Astridlaan_506,  vs  TerYdeIWVA_407," -0.0128 -0.0232 0.0191
"86" "Astridlaan_506,  vs  TerYdeWest_382," -0.0225 -0.0328 0.0121
"87" "Astridlaan_506,  vs  Tropiflora_31," -0.002 -0.0203 0.0359
"88" "Astridlaan_506,  vs  Veurne_569," -1e-04 -0.0197 0.0504
"89" "Astridlaan_506,  vs  Vloethemveld-Noord_F16," 0.0261 -0.0095 0.0757
"90" "Astridlaan_506,  vs  Vloethemveld-Zuid_F28," 0.0081 -0.0231 0.0545
"91" "Astridlaan_506,  vs  WarandeduinenMiddelkerke_G117," -0.0026 -0.0233 0.0501
"92" "Astridlaan_506,  vs  WesthoekNO_140," -0.0147 -0.025 0.0236
"93" "Astridlaan_506,  vs  WesthoekOost_529," -0.0051 -0.0175 0.0289
"94" "Astridlaan_506,  vs  Westhoekvissersdorp_226," -0.0014 -0.016 0.0314
"95" "Astridlaan_506,  vs  WesthoekZuid_9," -1e-04 -0.0158 0.0327
"96" "Astridlaan_506,  vs  Wetteren_548," 0.0351 -0.0072 0.1078
"97" "Astridlaan_506,  vs  WitteBurg_339," -0.0042 -0.0167 0.0338
"98" "Astridlaan_506,  vs  Zwinbosjes_596," 0.0399 -0.0018 0.1063
"99" "Astridlaan_506,  vs  Zwinbosjes-grazed_G229," 0.0145 -0.0182 0.0659
"100" "Averbode_P15,  vs  Belvedere_324," 0.0117 -0.0299 0.0807
"101" "Averbode_P15,  vs  Bredene_G205," 0.0065 -0.0369 0.076
"102" "Averbode_P15,  vs  Cabour_60," 0.0082 -0.0343 0.0827
"103" "Averbode_P15,  vs  DuinbossenDeHaan_G26," 0.0028 -0.0389 0.0859
"104" "Averbode_P15,  vs  FortNapoleon_G304," 0.0159 -0.029 0.1047
